token_type,token_address,receiver,amount,id
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0xddAAb647Bd7a3CFc77b3aB9592dc03929fCf29B9,0.045049581017988873,
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0xb7bCEbD47E00cED9Caf7430A16EBFAc8Ec074380,0.000000000000007447,
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0xC835bd6D29642E687a9ac024788ff94419aA57c9,175.595404131948108981,
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0x6321286F9B73f427C72e1f9F1bC6b3d25eF06605,5.424567923916304649,
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0x33B954d02d03d56fE90D87c86eb464adE41564Ca,42500.631382880731267072,
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0x08cA7278A60907ddfAE6f663f4cd3445fED9cB66,28742.109788236811337728,
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0x79B58d333e77c01256A2D14f63E18f398068Cbcb,0.105989018263714448,
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0x5367a6d4F5991327Bb20466684790e394bE000dE,0.006731575052745746,
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0x3D78d7dE894323fbBA341D7f31a19a555C43e3bF,8454.666730674700443520,
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0x3B920A66f1d0Bd10f8845Fb24cca06044B6113bD,121.414355977558081536,
