token_type,token_address,receiver,amount,id
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0xddAAb647Bd7a3CFc77b3aB9592dc03929fCf29B9,0.007836841975114685,
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0xb7bCEbD47E00cED9Caf7430A16EBFAc8Ec074380,0.000000000000001295,
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0xC835bd6D29642E687a9ac024788ff94419aA57c9,30.546520116806823127,
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0x6321286F9B73f427C72e1f9F1bC6b3d25eF06605,0.943657290588273420,
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0x33B954d02d03d56fE90D87c86eb464adE41564Ca,36364.113850332035940352,
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0x08cA7278A60907ddfAE6f663f4cd3445fED9cB66,42112.476630806886875136,
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0x79B58d333e77c01256A2D14f63E18f398068Cbcb,0.018437891213852604,
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0x5367a6d4F5991327Bb20466684790e394bE000dE,0.001171031450131253,
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0x3D78d7dE894323fbBA341D7f31a19a555C43e3bF,1470.770700511768214624,
erc20,0xe29797910d413281d2821d5d9a989262c8121cc2,0x3B920A66f1d0Bd10f8845Fb24cca06044B6113bD,21.121195177274773504,
